Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,42.930000,42.939999,42.599998,42.750000,27.364126,1793000
2011-01-04,42.689999,43.180000,42.360001,43.139999,27.613750,2339700
2011-01-05,42.919998,43.180000,42.759998,43.029999,27.543344,1621100
2011-01-06,42.950001,43.209999,42.779999,43.189999,27.645760,1748000
2011-01-07,43.290001,43.340000,42.799999,43.230000,27.671371,1988300
2011-01-10,42.939999,43.000000,42.430000,42.439999,27.165684,3736000
2011-01-11,42.610001,42.610001,42.189999,42.330002,27.095276,2106400
2011-01-12,42.560001,42.599998,42.060001,42.259998,27.050476,1812400
2011-01-13,42.270000,42.639999,42.160000,42.610001,27.274513,1845500
2011-01-14,42.900002,43.410000,42.590000,42.980000,27.511335,3749100
2011-01-18,42.919998,43.130001,42.860001,42.980000,27.511335,1661300
2011-01-19,43.000000,43.169998,42.820000,42.970001,27.504944,1863200
2011-01-20,42.950001,43.500000,42.910000,43.369999,27.760992,2008500
2011-01-21,43.389999,43.470001,43.119999,43.349998,27.748175,1599200
2011-01-24,43.279999,43.770000,43.279999,43.580002,27.895407,1311200
2011-01-25,43.580002,43.849998,43.450001,43.570000,27.888998,1773100
2011-01-26,43.639999,43.650002,43.330002,43.549999,27.876204,1358900
2011-01-27,43.470001,44.000000,43.470001,43.790001,28.029825,2142000
2011-01-28,43.630001,43.880001,43.209999,43.389999,27.773787,2942200
2011-01-31,43.480000,43.560001,43.250000,43.540001,27.869795,1936300
2011-02-01,43.700001,43.840000,43.430000,43.779999,28.023422,1644200
2011-02-02,43.549999,43.630001,43.340000,43.509998,27.850592,2075700
2011-02-03,43.419998,43.770000,43.360001,43.689999,27.965818,6894900
2011-02-04,43.680000,43.790001,43.230000,43.610001,27.914608,6684600
2011-02-07,43.380001,43.880001,43.259998,43.419998,27.792978,7921600
2011-02-08,43.520000,43.540001,43.180000,43.540001,27.869795,1888900
2011-02-09,43.500000,43.599998,43.259998,43.540001,27.869795,2155200
2011-02-10,43.509998,43.919998,43.340000,43.900002,28.100243,2045800
2011-02-11,43.750000,44.189999,43.680000,44.119999,28.241055,2632800
2011-02-14,44.119999,44.119999,43.299999,43.680000,27.959419,2201900
