Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,142.230774,142.307693,140.153839,140.615387,106.636551,6867666
2011-01-04,141.076920,143.153839,139.384613,143.153839,108.561584,10272535
2011-01-05,142.461533,144.000000,141.692307,143.384613,108.736603,6671912
2011-01-06,143.769226,144.000000,141.692307,142.769226,108.269936,5153213
2011-01-07,142.923080,143.538467,140.000000,141.769226,107.511536,7453745
2011-01-10,143.153839,144.230774,142.000000,142.384613,107.978203,8189545
2011-01-11,143.923080,144.692307,142.923080,143.307693,108.678253,6057129
2011-01-12,142.846161,144.076920,142.153839,143.615387,108.911583,7957729
2011-01-13,144.076920,144.615387,142.769226,143.076920,108.503304,5824377
2011-01-14,143.153839,144.923080,142.692307,144.769226,109.786682,5490641
2011-01-18,146.000000,146.076920,142.769226,143.076920,108.503304,9165767
2011-01-19,143.153839,143.384613,139.923080,141.000000,106.928230,10684713
2011-01-20,142.000000,143.000000,139.769226,141.769226,107.511536,8805264
2011-01-21,148.538467,153.615387,148.076920,151.846161,115.153473,29780426
2011-01-24,153.307693,154.769226,151.846161,154.153839,116.903481,12811149
2011-01-25,153.692307,156.000000,152.307693,153.692307,116.553505,13128323
2011-01-26,155.230774,155.384613,153.230774,153.230774,116.203522,8807968
2011-01-27,153.538467,156.384613,153.076920,156.000000,118.303574,8819278
2011-01-28,156.846161,159.538467,154.769226,155.384613,117.836884,13284661
2011-01-31,154.846161,156.076920,154.615387,154.923080,117.486885,6724042
2011-02-01,156.769226,160.769226,156.153839,160.000000,121.337006,8879559
2011-02-02,160.307693,161.230774,158.846161,159.307693,120.811958,5495919
2011-02-03,158.846161,159.769226,157.076920,159.615387,121.045280,5345301
2011-02-04,159.923080,160.000000,156.923080,158.153839,119.936951,5604053
2011-02-07,159.769226,161.538467,159.461533,160.538467,121.745331,5900297
2011-02-08,161.230774,163.923080,160.846161,163.692307,124.137047,7142239
2011-02-09,163.846161,164.846161,162.000000,163.923080,124.312073,7937358
2011-02-10,162.846161,163.923080,161.076920,163.615387,124.078766,6528002
2011-02-11,161.846161,164.923080,161.769226,164.076920,124.428726,5285202
2011-02-14,165.461533,166.538467,165.000000,165.384613,125.420433,5642416
2011-02-15,165.000000,165.307693,163.384613,165.076920,125.187042,5150470
2011-02-16,164.769226,165.307693,163.461533,164.923080,125.070427,5071235
2011-02-17,163.692307,166.000000,163.538467,165.538467,125.537094,4765527
2011-02-18,165.692307,166.153839,163.846161,164.923080,125.070427,5912946
2011-02-22,160.615387,163.153839,158.923080,160.153839,121.453613,9427639
2011-02-23,157.846161,159.153839,154.461533,156.692307,118.828575,11042239
2011-02-24,154.769226,158.846161,154.615387,158.307693,120.884438,8492926
2011-02-25,159.307693,160.615387,157.692307,160.153839,122.294182,5939336
2011-02-28,161.153839,162.076920,160.153839,160.923080,122.881500,5544851
2011-03-01,162.461533,162.846161,155.692307,155.769226,118.946068,8059103
2011-03-02,155.230774,158.769226,155.076920,156.307693,119.357231,6383650
2011-03-03,160.615387,161.000000,159.230774,159.615387,121.882973,6008262
2011-03-04,160.384613,160.461533,155.307693,156.692307,119.650917,7948772
2011-03-07,156.923080,158.384613,153.923080,156.769226,119.709679,8628984
2011-03-08,157.153839,159.923080,155.846161,158.692307,121.178131,6544408
2011-03-09,158.307693,159.307693,156.153839,158.692307,121.178131,6463574
2011-03-10,155.846161,157.923080,154.076920,154.615387,118.064980,10499138
2011-03-11,153.461533,157.538467,153.384613,156.615387,119.592155,7297823
2011-03-14,153.538467,154.538467,149.615387,153.230774,117.007668,11852672
2011-03-15,144.923080,152.000000,143.076920,150.846161,115.186752,17357483
2011-03-16,149.076920,150.076920,143.923080,145.769226,111.310013,17166331
2011-03-17,148.230774,151.000000,146.615387,147.846161,112.895897,10861578
2011-03-18,151.076920,151.923080,147.846161,148.076920,113.072151,10395593
2011-03-21,151.384613,152.307693,150.384613,151.692307,115.832916,6891092
2011-03-22,152.076920,152.076920,149.769226,149.923080,114.481865,6044623
2011-03-23,149.615387,150.461533,148.076920,150.230774,114.716858,5756907
2011-03-24,151.384613,152.307693,149.846161,152.153839,116.185310,5693051
2011-03-25,152.692307,153.307693,151.461533,151.923080,116.009163,5209295
2011-03-28,152.384613,152.923080,151.230774,151.923080,116.009163,4608019
2011-03-29,151.230774,153.153839,150.230774,152.769226,116.655212,4685031
2011-03-30,153.692307,156.000000,153.307693,154.692307,118.123657,6103747
2011-03-31,154.461533,155.000000,153.538467,154.230774,117.771278,5322226
2011-04-01,154.923080,157.692307,154.769226,156.461533,119.474686,6292000
2011-04-04,159.461533,159.615387,157.230774,157.923080,120.590744,5904366
2011-04-05,157.538467,158.692307,156.153839,156.384613,119.415962,5403684
2011-04-06,158.230774,158.615387,156.692307,158.076920,120.708191,6614569
2011-04-07,157.615387,157.692307,155.307693,156.538467,119.533455,6778655
2011-04-08,157.615387,157.846161,154.384613,155.307693,118.593620,6306352
2011-04-11,155.692307,156.692307,154.461533,155.230774,118.534904,3807856
2011-04-12,154.000000,155.076920,152.307693,153.923080,117.536385,6337669
2011-04-13,154.230774,154.692307,152.846161,153.384613,117.125153,5206370
2011-04-14,152.692307,154.461533,150.769226,153.846161,117.477570,5718570
2011-04-15,154.230774,156.153839,153.769226,154.153839,117.712502,6518031
2011-04-18,152.076920,153.846161,150.076920,153.692307,117.360107,8267493
2011-04-19,153.769226,156.461533,153.307693,155.923080,119.063553,8254493
2011-04-20,157.846161,158.000000,156.000000,156.923080,119.827148,7226362
2011-04-21,159.846161,160.000000,151.769226,153.461533,117.183907,15819713
2011-04-25,154.923080,155.000000,153.000000,153.000000,116.831497,7247773
2011-04-26,154.153839,156.384613,153.846161,154.615387,118.064980,6826066
2011-04-27,155.307693,160.384613,155.000000,158.846161,121.295670,11482640
2011-04-28,159.153839,159.769226,157.461533,158.461533,121.001900,5474365
2011-04-29,159.384613,159.538467,156.923080,157.307693,120.120811,5393427
2011-05-02,159.230774,159.307693,157.153839,157.538467,120.297073,4695938
2011-05-03,156.615387,158.846161,156.538467,158.769226,121.236847,5208801
2011-05-04,158.153839,158.923080,155.000000,155.923080,119.063553,7525791
2011-05-05,155.615387,156.153839,152.384613,153.076920,116.890221,7445555
2011-05-06,155.307693,155.769226,153.461533,153.923080,117.536385,5674240
2011-05-09,153.615387,154.692307,153.076920,154.384613,117.888779,4965168
2011-05-10,154.923080,157.076920,154.769226,156.153839,119.239746,4963504
2011-05-11,155.461533,157.000000,153.846161,154.538467,118.006241,5003570
2011-05-12,153.846161,155.230774,153.076920,154.923080,118.299927,4982822
2011-05-13,154.769226,154.923080,152.000000,153.000000,116.831497,5486000
2011-05-16,152.692307,153.769226,151.384613,152.000000,116.067871,5953571
2011-05-17,150.923080,151.769226,149.692307,150.692307,115.069283,6178744
2011-05-18,150.692307,152.846161,149.307693,152.000000,116.067871,5995743
2011-05-19,152.846161,154.230774,152.615387,153.538467,117.242645,5565989
2011-05-20,153.307693,153.384613,150.615387,150.923080,115.245514,5918978
2011-05-23,148.615387,149.846161,147.153839,149.153839,113.894508,5072678
2011-05-24,149.461533,150.153839,146.538467,146.923080,112.191101,5941598
2011-05-25,146.153839,148.923080,145.923080,147.846161,112.895897,5593666
2011-05-26,147.153839,149.923080,147.153839,149.384613,114.070679,5408988
2011-05-27,149.923080,150.615387,149.384613,149.538467,114.188240,3929068
2011-05-31,151.384613,151.692307,149.846161,151.076920,115.362984,6912750
2011-06-01,149.769226,150.769226,146.923080,147.153839,112.367279,8451560
2011-06-02,147.384613,148.307693,145.692307,146.846161,112.132385,5233670
2011-06-03,144.846161,146.076920,144.230774,144.769226,110.546410,6383728
2011-06-06,143.923080,144.615387,141.461533,142.000000,108.431801,7861139
2011-06-07,142.615387,143.846161,142.076920,142.153839,108.549294,6876168
2011-06-08,142.230774,143.615387,141.538467,142.384613,108.725479,6787716
2011-06-09,142.692307,144.307693,142.230774,142.923080,109.136734,5120648
2011-06-10,142.384613,142.461533,139.538467,140.923080,107.609467,7258979
2011-06-13,140.846161,142.461533,140.153839,141.461533,108.020683,5518708
2011-06-14,142.538467,144.230774,142.307693,143.076920,109.254143,6416657
2011-06-15,142.076920,143.615387,140.923080,141.461533,108.020683,7600255
2011-06-16,140.076920,143.153839,140.000000,141.846161,109.205078,7160894
2011-06-17,143.307693,143.769226,141.076920,142.230774,109.501183,7338253
2011-06-20,141.076920,142.769226,140.769226,142.153839,109.441986,5056649
2011-06-21,143.076920,145.692307,142.769226,144.692307,111.396271,7642609
2011-06-22,143.769226,144.692307,142.769226,142.769226,109.915756,6250062
2011-06-23,141.076920,141.461533,138.538467,141.384613,108.849731,9016085
2011-06-24,141.692307,141.769226,138.230774,138.230774,106.421646,10507159
2011-06-27,138.538467,141.692307,138.461533,140.615387,108.257530,6037824
2011-06-28,141.000000,141.846161,139.692307,141.846161,109.205078,5030792
2011-06-29,142.615387,143.153839,141.538467,142.769226,109.915756,5042453
2011-06-30,143.000000,145.384613,142.769226,145.076920,111.692368,5855122
2011-07-01,145.076920,148.153839,144.230774,147.692307,113.705925,7262905
2011-07-05,147.846161,148.076920,145.461533,146.461533,112.758369,5447494
2011-07-06,145.923080,146.923080,145.846161,146.538467,112.817566,4105673
2011-07-07,147.923080,149.615387,147.230774,148.461533,114.298157,5846113
2011-07-08,146.769226,146.923080,145.000000,146.076920,112.462265,7104786
2011-07-11,144.000000,144.461533,142.307693,143.307693,110.330284,6051617
